Goal/target,Indicator name,indicator_type,indic_id,indicator_name
Goal A,Red List of Ecosystems,Headline,GBF_H_GA_1,Red List of Ecosystems
Goal A,Extent of natural ecosystems,Headline,GBF_H_GA_2,Extent of natural ecosystems
Goal A,Red List Index,Headline,GBF_H_GA_3,Red List Index
Goal A,The proportion of populations within species with an effective population size > 500,Headline,GBF_H_GA_4,The proportion of populations within species with an effective population size > 500
Goal B,Services provided by ecosystems,Headline,GBF_H_GB_5,Services provided by ecosystems
Goal B,"Number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of Goal B].",Binary,GBF_H_GB_6,"Number of countries with policies or action plans for [[implementing and monitoring] the sustainable use of biodiversity and the maintenance and enhancement of nature’s contributions to people, including ecosystem functions and services [in a manner supportive of sustainable development][and processes to value biodiversity as well as policies to ensure the provision of ecosystem services for present and future generations]][promoting the achievement of Goal B]."
Goal C,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments,Headline,GBF_H_GC_7,Monetary benefits received in accordance with applicable internationally agreed Access and Benefit-sharing instruments
Goal C,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments,Headline,GBF_H_GC_8,Non-monetary benefits arising from applicable international Access and Benefit-sharing instruments
Goal C,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",Binary,GBF_H_GC_9,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources."
Goal D,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Headline,GBF_H_GD_10,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
Goal D,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_GD_11,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Goal D,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_GD_12,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Target 1,Red List of Ecosystems,Headline,GBF_H_T1_13,Red List of Ecosystems
Target 1,Extent of natural ecosystems,Headline,GBF_H_T1_14,Extent of natural ecosystems
Target 1,Percentage of land and seas covered by biodiversity-inclusive spatial plans,Headline,GBF_H_T1_15,Percentage of land and seas covered by biodiversity-inclusive spatial plans
Target 1,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change.",Binary,GBF_H_T1_16,"Number of countries using participatory, integrated and biodiversity-inclusive spatial planning or effective management processes to address land and sea use change."
Target 2,Area under restoration,Headline,GBF_H_T2_17,Area under restoration
Target 3,Coverage of protected areas and other effective area-based conservation measures,Headline,GBF_H_T3_18,Coverage of protected areas and other effective area-based conservation measures
Target 4,Red List Index,Headline,GBF_H_T4_19,Red List Index
Target 4,The proportion of populations within species with an effective population size > 500,Headline,GBF_H_T4_20,The proportion of populations within species with an effective population size > 500
Target 5,Proportion of fish stocks within biologically sustainable levels,Headline,GBF_H_T5_21,Proportion of fish stocks within biologically sustainable levels
Target 6,Rate of invasive alien species establishment,Headline,GBF_H_T6_22,Rate of invasive alien species establishment
Target 6,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species.",Binary,GBF_H_T6_23,"Number of countries adopting relevant regulation, processes and measures and allocating resources to reduce the impact of invasive alien species."
Target 7,Index of coastal eutrophication potential,Headline,GBF_H_T7_24,Index of coastal eutrophication potential
Target 7,Aggregated Total Applied Toxicity,Headline,GBF_H_T7_25,Aggregated Total Applied Toxicity
Target 8,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.,Binary,GBF_H_T8_26,Number of countries with agreed policies to minimize the impact of climate change and ocean acidification on biodiversity and that minimize negative and foster positive impacts of climate action on biodiversity.
Target 9,Benefits from the sustainable use of wild species,Headline,GBF_H_T9_27,Benefits from the sustainable use of wild species
Target 9,Percentage of the population in traditional occupations,Headline,GBF_H_T9_28,Percentage of the population in traditional occupations
Target 9,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities.",Binary,GBF_H_T9_29,"Number of countries with policies to sustainably manage, use [and trade] wild species, providing social, economic and environmental benefits for people, and that protect and encourage customary sustainable use [of wild species] by indigenous peoples and local communities."
Target 10,Proportion of agricultural area under productive and sustainable agriculture,Headline,GBF_H_T10_30,Proportion of agricultural area under productive and sustainable agriculture
Target 10,Progress towards sustainable forest management,Headline,GBF_H_T10_31,Progress towards sustainable forest management
Target 11,Services provided by ecosystems,Headline,GBF_H_T11_32,Services provided by ecosystems
Target 12,Average share of the built-up area of cities that is green/blue space for public use for all,Headline,GBF_H_T12_33,Average share of the built-up area of cities that is green/blue space for public use for all
Target 12,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.,Binary,GBF_H_T12_34,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces.
Target 13,Indicator on monetary benefits received,Headline,GBF_H_T13_35,Indicator on monetary benefits received
Target 13,Indicator on non-monetary benefits,Headline,GBF_H_T13_36,Indicator on non-monetary benefits
Target 13,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources.",Binary,GBF_H_T13_37,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources."
Target 14,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it].",Binary,GBF_H_T14_38,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty [reduction][eradication] strategies and accounts at all levels, [ensuring that biodiversity values are mainstreamed] [and] across all sectors [ and fiscal and financial flows are aligned with it]."
Target 15,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",Headline,GBF_H_T15_39,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts"
Target 15,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production.",Binary,GBF_H_T15_40,"Number of countries taking legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular, ensuring that large and transnational companies and financial institutions, to progressively reduce negative impacts from business and financial institutions on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production."
Target 16,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices.",Binary,GBF_H_T16_41,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices."
Target 17,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.,Binary,GBF_H_T17_42,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19.
Target 18,Positive incentives in place to promote biodiversity conservation and sustainable use,Headline,GBF_H_T18_43,Positive incentives in place to promote biodiversity conservation and sustainable use
Target 18,Value of subsidies and other incentives harmful to biodiversity,Headline,GBF_H_T18_44,Value of subsidies and other incentives harmful to biodiversity
Target 19,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems",Headline,GBF_H_T19_45,"International public funding, including official development assistance (ODA) for conservation and sustainable use of biodiversity and ecosystems"
Target 19,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_T19_46,Domestic public funding on conservation and sustainable use of biodiversity and ecosystems
Target 19,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,Headline,GBF_H_T19_47,Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems
Target 20,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation.",Binary,GBF_H_T20_48,"Number of countries that have taken significant action to strengthen capacity-building and development, access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation."
Target 21,Indicator on biodiversity information for monitoring the global biodiversity framework,Headline,GBF_H_T21_49,Indicator on biodiversity information for monitoring the global biodiversity framework
Target 22,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]",Binary,GBF_H_T22_50,"Number of countries [promoting the full, equitable, inclusive, effective and gender-responsive representation and participation] and [recognizing the rights of indigenous peoples and local communities with respect to their traditional territories, cultures and practices as well as the rights of environmental human rights defenders, women, youth, and persons with disabilities] [ensuring representation and participation in decision-making and access to justice and information in relation with biodiversity and ensuring the legal rights of indigenous peoples and local communities, including respecting their rights over lands, territories, resources and traditional knowledge, women and girls, children and youth and persons with disabilities, and ensuring the full protection of human rights of environmental defenders.]"
Target 23,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources.",Binary,GBF_H_T23_51,"Number of countries with legal, administrative or policy frameworks, including the Gender Plan of Action, as well as the allocation of specific financial resources to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources."
Goal A,Ecosystem Intactness Index,component,GBF_C_GA_1,Ecosystem Intactness Index
Goal A,Ecosystem Integrity Index,component,GBF_C_GA_2,Ecosystem Integrity Index
Goal A,Species habitat Index,component,GBF_C_GA_3,Species habitat Index
Goal A,Biodiversity Habitat Index,component,GBF_C_GA_4,Biodiversity Habitat Index
Goal A,Protected Connected (Protconn) index,component,GBF_C_GA_5,Protected Connected (Protconn) index
Goal A,Protected Area Connectedness Index (PARC-Connectedness),component,GBF_C_GA_6,Protected Area Connectedness Index (PARC-Connectedness)
Goal A,Evolutionarily Distinct and Globally Endangered (EDGE),component,GBF_C_GA_7,Evolutionarily Distinct and Globally Endangered (EDGE)
Goal A,Living Planet Index,component,GBF_C_GA_8,Living Planet Index
Goal A,Change in the extent of water-related ecosystems over time,component,GBF_C_GA_9,Change in the extent of water-related ecosystems over time
Goal B,Red List Index (for utilized species),component,GBF_C_GB_10,Red List Index (for utilized species)
Goal B,Living Planet Index (for used species),component,GBF_C_GB_11,Living Planet Index (for used species)
Goal C,None adopted,component,GBF_C_GC_12,
Goal D,None adopted,component,GBF_C_GD_13,
Target 1,Priority retention of intact / wilderness areas,component,GBF_C_T1_14,Priority retention of intact / wilderness areas
Target 2,Extent of natural ecosystems by type,component,GBF_C_T2_15,Extent of natural ecosystems by type
Target 2,Maintenance and restoration of connectivity of natural ecosystems,component,GBF_C_T2_16,Maintenance and restoration of connectivity of natural ecosystems
Target 3,Protected area coverage of key biodiversity areas,component,GBF_C_T3_17,Protected area coverage of key biodiversity areas
Target 3,Protected Area Management Effectiveness (PAME),component,GBF_C_T3_18,Protected Area Management Effectiveness (PAME)
Target 3,Protconn,component,GBF_C_T3_19,Protconn
Target 3,Protected Area Connectedness Index (PARC-Connectedness),component,GBF_C_T3_20,Protected Area Connectedness Index (PARC-Connectedness)
Target 3,Red List of Ecosystems,component,GBF_C_T3_21,Red List of Ecosystems
Target 3,Connectivity Indicator (in development),component,GBF_C_T3_22,Connectivity Indicator (in development)
Target 3,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE),component,GBF_C_T3_23,The number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 3,Species Protection Index,component,GBF_C_T3_24,Species Protection Index
Target 4,Living Planet Index,component,GBF_C_T4_25,Living Planet Index
Target 4,Number of plant and animal genetic resources secured in medium or long-term conservation facilities,component,GBF_C_T4_26,Number of plant and animal genetic resources secured in medium or long-term conservation facilities
Target 4,Trends in effective and sustainable management of human-wildlife conflict and coexistence,component,GBF_C_T4_27,Trends in effective and sustainable management of human-wildlife conflict and coexistence
Target 4,Green Status of Species Index,component,GBF_C_T4_28,Green Status of Species Index
Target 4,Conservation status of species listed in the CITES Appendices has stabilized or improved,component,GBF_C_T4_29,Conservation status of species listed in the CITES Appendices has stabilized or improved
Target 5,Red List Index for used species,component,GBF_C_T5_30,Red List Index for used species
Target 5,Living Planet Index for used species,component,GBF_C_T5_31,Living Planet Index for used species
Target 5,Sustainable use of Wild Species,component,GBF_C_T5_32,Sustainable use of Wild Species
Target 6,Rate of invasive species impact and rate of impact,component,GBF_C_T6_33,Rate of invasive species impact and rate of impact
Target 6,Rate of invasive alien species spread,component,GBF_C_T6_34,Rate of invasive alien species spread
Target 6,Number of invasive alien species introduction events,component,GBF_C_T6_35,Number of invasive alien species introduction events
Target 7,Fertilizer use,component,GBF_C_T7_36,Fertilizer use
Target 7,Proportion of domestic and industrial wastewater flow safely treated,component,GBF_C_T7_37,Proportion of domestic and industrial wastewater flow safely treated
Target 7,Floating plastic debris density [by micro and macro plastics],component,GBF_C_T7_38,Floating plastic debris density [by micro and macro plastics]
Target 7,Red List Index (impact of pollution),component,GBF_C_T7_39,Red List Index (impact of pollution)
Target 8,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts),component,GBF_C_T8_40,Total climate regulation services provided by ecosystems by ecosystem type (System of Environmental Economic Accounts)
Target 8,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity,component,GBF_C_T8_41,Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 which include biodiversity
Target 8,National greenhouse inventories from land use and land use change,component,GBF_C_T8_42,National greenhouse inventories from land use and land use change
Target 8,Bioclimatic Ecosystem Resilience Index (BERI),component,GBF_C_T8_43,Bioclimatic Ecosystem Resilience Index (BERI)
Target 9,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)",component,GBF_C_T9_44,"Number of people using wild resources for energy, food or culture (including firewood collection, hunting and fishing, gathering, medicinal use, craft making, etc.)"
Target 9,Red List Index (species used for food and medicine),component,GBF_C_T9_45,Red List Index (species used for food and medicine)
Target 9,Living Planet Index (for used species),component,GBF_C_T9_46,Living Planet Index (for used species)
Target 10,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification,component,GBF_C_T10_47,Area of forest under sustainable management: total forest management certification by Forest Stewardship Council and Programme for the Endorsement of Forest Certification
Target 10,"Average income of small-scale food producers, by sex and indigenous status",component,GBF_C_T10_48,"Average income of small-scale food producers, by sex and indigenous status"
Target 11,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",component,GBF_C_T11_49,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population"
Target 11,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",component,GBF_C_T11_50,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)"
Target 11,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,component,GBF_C_T11_51,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities
Target 11,Proportion of bodies of water with good ambient water quality,component,GBF_C_T11_52,Proportion of bodies of water with good ambient water quality
Target 11,Level of water stress,component,GBF_C_T11_53,Level of water stress
Target 12,Recreation and cultural ecosystem services provided,component,GBF_C_T12_54,Recreation and cultural ecosystem services provided
Target 13,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,component,GBF_C_T13_55,Number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit
Target 14,Number of countries with Implementation of the System of Environmental Economic Accounting,component,GBF_C_T14_56,Number of countries with Implementation of the System of Environmental Economic Accounting
Target 15,Indicator based on Task Force for Naturerelated Financial Disclosures,component,GBF_C_T15_57,Indicator based on Task Force for Naturerelated Financial Disclosures
Target 16,Food waste index,component,GBF_C_T16_58,Food waste index
Target 16,Material footprint per capita,component,GBF_C_T16_59,Material footprint per capita
Target 16,Global environmental impacts of consumption,component,GBF_C_T16_60,Global environmental impacts of consumption
Target 16,Ecological footprint,component,GBF_C_T16_61,Ecological footprint
Target 17,None adopted,component,GBF_C_T17_62,
Target 18,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated",component,GBF_C_T18_63,"Value of subsidies and other incentives harmful to biodiversity, that are redirected, repurposed or eliminated"
Target 19,None adopted,component,GBF_C_T19_64,
Target 20,None adopted,component,GBF_C_T20_65,
Target 21,Species status index,component,GBF_C_T21_66,Species status index
