Goal/target,Indicator name,indicator_type,indic_id,indicator_name
Target 5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_CY_T5_158,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 5,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,complementary,GBF_CY_T5_159,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction
Target 5,Illegal trade by CITES species classification,complementary,GBF_CY_T5_160,Illegal trade by CITES species classification
Target 5,Number of countries incorporating trade in their national biodiversity policy,complementary,GBF_CY_T5_161,Number of countries incorporating trade in their national biodiversity policy
Target 5,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",complementary,GBF_CY_T5_162,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Target 5,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,complementary,GBF_CY_T5_163,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
Target 5,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_CY_T5_164,Number of MSC Chain of Custody Certification holders by distribution country
Target 5,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),complementary,GBF_CY_T5_165,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements)
Target 6,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,complementary,GBF_CY_T6_166,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species
Target 6,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",complementary,GBF_CY_T6_167,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
Target 6,Red List Index (impacts of invasive alien species),complementary,GBF_CY_T6_168,Red List Index (impacts of invasive alien species)
Target 7,Trends in Loss of Reactive Nitrogen to the Environment.,complementary,GBF_CY_T7_169,Trends in Loss of Reactive Nitrogen to the Environment.
Target 7,Trends in Nitrogen Deposition,complementary,GBF_CY_T7_170,Trends in Nitrogen Deposition
Target 7,Municipal solid waste collected and managed,complementary,GBF_CY_T7_171,Municipal solid waste collected and managed
Target 7,Hazardous waste generation,complementary,GBF_CY_T7_172,Hazardous waste generation
Target 7,Trends in the amount of litter in the water column including microplastics and on the seafloor,complementary,GBF_CY_T7_173,Trends in the amount of litter in the water column including microplastics and on the seafloor
Target 7,Index of coastal eutrophication; (b) plastic debris density,complementary,GBF_CY_T7_174,Index of coastal eutrophication; (b) plastic debris density
Target 7,Red List of Ecosystems,complementary,GBF_CY_T7_175,Red List of Ecosystems
Target 7,Underwater noise pollution,complementary,GBF_CY_T7_176,Underwater noise pollution
Target 7,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",complementary,GBF_CY_T7_177,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
Target 7,Pesticide use per area of cropland,complementary,GBF_CY_T7_178,Pesticide use per area of cropland
Target 8,Above-ground biomass stock in forest (tonnes/ha),complementary,GBF_CY_T8_179,Above-ground biomass stock in forest (tonnes/ha)
Target 8,National greenhouse inventories from land use and land use change,complementary,GBF_CY_T8_180,National greenhouse inventories from land use and land use change
Target 8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,complementary,GBF_CY_T8_181,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
Target 8,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",complementary,GBF_CY_T8_182,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications"
Target 8,Index of coastal eutrophication,complementary,GBF_CY_T8_183,Index of coastal eutrophication
Target 8,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",complementary,GBF_CY_T8_184,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover"
Target 9,Proportion of fish stocks within biologically sustainable levels,complementary,GBF_CY_T9_185,Proportion of fish stocks within biologically sustainable levels
Target 9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",complementary,GBF_CY_T9_186,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Target 9,Number of MSC Chain of Custody Certification holders by distribution country,complementary,GBF_CY_T9_187,Number of MSC Chain of Custody Certification holders by distribution country
Target 9,Spawning stock biomass (related to commercially exploited species),complementary,GBF_CY_T9_188,Spawning stock biomass (related to commercially exploited species)
Target 9,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities,complementary,GBF_CY_T9_189,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities
Target 9,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size,complementary,GBF_CY_T9_190,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size
Target 10,Agrobiodiversity Index,complementary,GBF_CY_T10_191,Agrobiodiversity Index
Target 10,Changes in soil organic carbon stocks,complementary,GBF_CY_T10_192,Changes in soil organic carbon stocks
Target 10,Red List Index (wild relatives of domesticated animals),complementary,GBF_CY_T10_193,Red List Index (wild relatives of domesticated animals)
Target 10,Red List Index (pollinating species),complementary,GBF_CY_T10_194,Red List Index (pollinating species)
Target 10,Proportion of local breeds classified as being at risk extinction,complementary,GBF_CY_T10_195,Proportion of local breeds classified as being at risk extinction
Target 10,Proportion of land that is degraded over total land area,complementary,GBF_CY_T10_196,Proportion of land that is degraded over total land area
Target 11,Air emission accounts,complementary,GBF_CY_T11_197,Air emission accounts
Target 11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,complementary,GBF_CY_T11_198,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management
Target 11,Proportion of population using safely managed drinking water services,complementary,GBF_CY_T11_199,Proportion of population using safely managed drinking water services
Target 11,Mortality rate attributed to household and ambient air pollution,complementary,GBF_CY_T11_200,Mortality rate attributed to household and ambient air pollution
Target 12,None adopted,complementary,GBF_CY_T12_201,
Target 13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,complementary,GBF_CY_T13_202,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country
Target 13,"Total number of permits, or their equivalent, granted for access to genetic resources",complementary,GBF_CY_T13_203,"Total number of permits, or their equivalent, granted for access to genetic resources"
Target 13,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,complementary,GBF_CY_T13_204,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House
Target 13,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",complementary,GBF_CY_T13_205,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House"
Target 13,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,complementary,GBF_CY_T13_206,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House
Target 13,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits",complementary,GBF_CY_T13_207,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
Target 13,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity,complementary,GBF_CY_T13_208,Estimated percentage of monetary and nonmonetary benefits directed towards conservation and sustainable use of biodiversity
Target 14,Human Appropriation of Net Primary Production (HANPP),complementary,GBF_CY_T14_209,Human Appropriation of Net Primary Production (HANPP)
Target 14,CO2 emission per unit of value added,complementary,GBF_CY_T14_210,CO2 emission per unit of value added
Target 14,Change in water-use efficiency over time,complementary,GBF_CY_T14_211,Change in water-use efficiency over time
Target 15,Species threat abatement and restoration metric,complementary,GBF_CY_T15_212,Species threat abatement and restoration metric
Target 15,Number of companies publishing sustainability reports,complementary,GBF_CY_T15_213,Number of companies publishing sustainability reports
Target 16,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",complementary,GBF_CY_T16_214,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)"
Target 16,Recycling rate,complementary,GBF_CY_T16_215,Recycling rate
Target 16,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,complementary,GBF_CY_T16_216,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling
Target 16,Levels of poverty in developing communities,complementary,GBF_CY_T16_217,Levels of poverty in developing communities
Target 17,Number of countries that have the necessary biosafety legal and administrative measures in place,complementary,GBF_CY_T17_218,Number of countries that have the necessary biosafety legal and administrative measures in place
Target 17,Number of countries that implement their biosafety measures,complementary,GBF_CY_T17_219,Number of countries that implement their biosafety measures
Target 17,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,complementary,GBF_CY_T17_220,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology
Target 17,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,complementary,GBF_CY_T17_221,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_CY_T17_222,Number of countries that establish and implement risk management measures
Target 17,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,complementary,GBF_CY_T17_223,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol
Target 17,Number of countries with legal and technical measures for restoration and compensation,complementary,GBF_CY_T17_224,Number of countries with legal and technical measures for restoration and compensation
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,complementary,GBF_CY_T17_225,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,complementary,GBF_CY_T17_226,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity
Target 17,Number of countries that establish and implement risk management measures,complementary,GBF_CY_T17_227,Number of countries that establish and implement risk management measures
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,complementary,GBF_CY_T17_228,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health
Target 18,Number of countries with biodiversity-relevant taxes,complementary,GBF_CY_T18_229,Number of countries with biodiversity-relevant taxes
Target 18,Number of countries with biodiversity-relevant charges and fees,complementary,GBF_CY_T18_230,Number of countries with biodiversity-relevant charges and fees
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,complementary,GBF_CY_T18_231,Number of countries with biodiversity-relevant tradable permit schemes
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),complementary,GBF_CY_T18_232,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate)
Target 18,Trends in the number and value of government fossil fuel support measures,complementary,GBF_CY_T18_233,Trends in the number and value of government fossil fuel support measures
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption),complementary,GBF_CY_T18_234,Amount of fossil-fuel subsidies per unit of GDP (production and consumption)
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area,complementary,GBF_CY_T19_235,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",complementary,GBF_CY_T19_236,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget"
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,complementary,GBF_CY_T19_237,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",complementary,GBF_CY_T19_238,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries"
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries,complementary,GBF_CY_T19_239,Dollar value of all resources made available to strengthen statistical capacity in developing countries
Target 19,Amount of biodiversity-related philanthropic funding,complementary,GBF_CY_T19_240,Amount of biodiversity-related philanthropic funding
Target 19,Proportion of total research budget allocated to research in the field of marine technology,complementary,GBF_CY_T19_241,Proportion of total research budget allocated to research in the field of marine technology
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",complementary,GBF_CY_T19_242,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,complementary,GBF_CY_T19_243,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",complementary,GBF_CY_T19_244,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities"
Target 20,None adopted,complementary,GBF_CY_T20_245,
Target 21,Growth in number of records and species in the Living Planet Index database,complementary,GBF_CY_T21_246,Growth in number of records and species in the Living Planet Index database
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,complementary,GBF_CY_T21_247,Growth in species occurrence records accessible through the Global Biodiversity Information Facility
Target 21,Growth in marine species occurrence records accessible through OBIS,complementary,GBF_CY_T21_248,Growth in marine species occurrence records accessible through OBIS
Target 21,Proportion of known species assessed through the IUCN Red List.,complementary,GBF_CY_T21_249,Proportion of known species assessed through the IUCN Red List.
Target 21,Number of assessments on the IUCN Red List of threatened species,complementary,GBF_CY_T21_250,Number of assessments on the IUCN Red List of threatened species
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),complementary,GBF_CY_T21_251,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors)
Target 21,"Species Status Information Index
",complementary,GBF_CY_T21_252,"Species Status Information Index
"
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_CY_T22_253,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_CY_T22_254,Number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 22,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_CY_T22_255,"Proportion of total agricultural population with ownership or secure tenure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_CY_T22_256,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_CY_T22_257,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",complementary,GBF_CY_T22_258,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill"
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],complementary,GBF_CY_T22_259,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure]
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_CY_T22_260,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,GBF_CY_T23_261,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups"
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,GBF_CY_T23_262,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
Target 23,Number of countries with systems to track and make public allocations for gender equality and women's empowerment,complementary,GBF_CY_T23_263,Number of countries with systems to track and make public allocations for gender equality and women's empowerment
Target 23,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),complementary,GBF_CY_T23_264,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE)
Target 23,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",complementary,GBF_CY_T23_265,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group"
Target 23,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,complementary,GBF_CY_T23_266,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control
