id,goal_type,goal,target,GBF_goals_targets,"Tools, actions and resources (non-exhaustive)",Key Actors (non exhaustive),Indicator(s) and Baselines,indicators
% of Parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin. (Data source: National Reports). 
{Involvement of stakeholders in various aspects of wetland and/or basin-scale management}"
S_G3_T10,Strategic Goals,Goal 3: Wisely using all wetlands,"The traditional knowledge, innovations and practices of indigenous peoples and local communities relevant for the wise use of wetlands and their customary use of wetland resources, are documented, respected, subject to national legislation and relevant international obligations and fully integrated and reflected in the implementation of the Convention with a full and effective participation of indigenous and local communities at all relevant levels.",T22,"Ramsar Handbook 7: 
Participatory skills 
[http://www.ramsar.org/sites/ default/files/documents/pdf/li b/hbk4-07.pdf]","Ramsar Secretariat, 
Contracting Parties, IOPs, Regional Initiatives, 
Regional Centres, wetland managers and users, MEAs.","Possible further indicators that may be developed 
{Possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related Aichi Target 18 of the Strategic Plan for Biodiversity}.",{Possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related Aichi Target 18 of the Strategic Plan for Biodiversity}.
S_G3_T11,Strategic Goals,Goal 3: Wisely using all wetlands,"Wetland functions, services and benefits are widely demonstrated, documented and disseminated.",T11; T12; T13,"Promoting wise use, integrated water resources management, and integration of wetlands in other sectoral policies, plans or strategies. 
TEEB report, assessment of ecosystems services. 
Implementation of 
programmes or projects that contribute to poverty 
alleviation. 
Ramsar Handbook 6: Wetland CEPA 
[http://www.ramsar.org/sites/ default/files/documents/library /hbk4-06.pdf]","Contracting Parties with support from Secretariat, IPBES, IOPs.","Baseline 
19% of Parties have made assessment of ecosystem services of Ramsar sites. (National Reports to COP12). 
39% of Parties have incorporated wetlands issues into poverty eradication strategies. (National Reports to COP12). 
42% of Parties have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans. (National Reports to COP12). 
Indicators 
% of Parties that have made assessment of ecosystem services of Ramsar Sites. (Data source: National Reports). 
% of Parties that have incorporated wetlands issues into poverty eradication strategies. (Data source: National Reports). 
% of Parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans. (Data source: National Reports).","% of Parties that have made assessment of ecosystem services of Ramsar Sites. (Data source: National Reports). 
% of Parties that have incorporated wetlands issues into poverty eradication strategies. (Data source: National Reports). 
% of Parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans. (Data source: National Reports)."
S_G3_T12,Strategic Goals,Goal 3: Wisely using all wetlands,"Restoration is in progress in degraded wetlands, with priority to wetlands that are relevant for biodiversity conservation, disaster risk reduction, livelihoods and/or climate change mitigation and adaptation",T2; T8; T11,"Restoration initiatives taken, projects, programmes 
implemented.","Contracting Parties, IOPs (STRP; Secretariat).","Baseline 
68% of Parties have identified priority sites for restoration. (National Reports to COP12). 
70% of Parties have implemented restoration or rehabilitation programmes. (National Reports to COP12). 
Indicators 
% of Parties that have established restoration plans [or activities] for sites. (Data source: National Reports). 
% of Parties that have implemented effective restoration or rehabilitation projects. (Data source: National Reports). 
Possible further indicators that may be developed 
{Outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate}.","% of Parties that have established restoration plans [or activities] for sites. (Data source: National Reports). 
% of Parties that have implemented effective restoration or rehabilitation projects. (Data source: National Reports). 
{Outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate}."
S_G3_T13,Strategic Goals,Goal 3: Wisely using all wetlands,"Enhanced sustainability of key sectors such as water, energy, mining, agriculture, tourism, urban development, infrastructure, industry, forestry, aquaculture and fisheries when they affect wetlands, contributing to biodiversity conservation and human livelihoods",T10; T14; T15,,,"Possible further indicators that may be developed 
{Indicators related to the relevant sectors especially using or linking to relevant Aichi Target indicators and other relevant international processes}.",{Indicators related to the relevant sectors especially using or linking to relevant Aichi Target indicators and other relevant international processes}.
O_G4_T14,Operational Goal,Goal 4: Enhancing Implementation,Scientific guidance and technical methodologies at global and regional levels is developed on relevant topics and is available to policy makers and practitioners in an appropriate format and language,T20; T21,"STRP leads with support from Secretariat in producing 
guidance.",STRP,"Baseline 
In 2015, [543] ‘hits’ on scientific and technical guidance pages of the Ramsar web-site. (Data source: Google Analytics Ramsar web-site, May-June, 2015). 
In 2015, [60] ‘hits’ on STRP briefing notes from the Ramsar web-site. (Data source: Google Analytics Ramsar web-site, May-June, 2015)). 
In 2015, [176] ‘hits’ of relevant Ramsar Handbooks downloaded from the Ramsar web-site (Data source: Google Analytics Ramsar web-site, May-June, 2015) 
In 2015, [150} practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either STRP, Parties and others, and is available via the Ramsar website. (Data source: Ramsar web-site). 
Indicator 
Number of ‘hits’ on scientific and technical guidance pages of the Ramsar web-site and associated subtotals by country and Ramsar Region of the source of these hits. (Data source: Ramsar web-site analytics). 
Number of STRP briefing papers downloaded from the Ramsar web site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics). 
Number of relevant Ramsar Handbooks downloaded from the Ramsar web-site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics). 
Number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either STRP, Parties and others, and is available via the Ramsar website. (Data source: Ramsar web-site). 
Possible further indicators that may be developed 
{Indicator(s) related to the use of guidance and availability in various language versions}.","Number of ‘hits’ on scientific and technical guidance pages of the Ramsar web-site and associated subtotals by country and Ramsar Region of the source of these hits. (Data source: Ramsar web-site analytics). 
Number of STRP briefing papers downloaded from the Ramsar web site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics). 
Number of relevant Ramsar Handbooks downloaded from the Ramsar web-site and subtotals by country and Ramsar Region of the source of these downloads. (Data source: Ramsar web-site analytics). 
Number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either STRP, Parties and others, and is available via the Ramsar website. (Data source: Ramsar web-site). 
{Indicator(s) related to the use of guidance and availability in various language versions}."
O_G4_T15,Operational Goal,Goal 4: Enhancing Implementation,Ramsar Regional Initiatives with the active involvement and support of the Parties in each region are reinforced and developed into effective tools to assist in the full implementation of the Convention.,,,,"Baselines 
By COP12, [15] Regional Initiatives are in operation under the framework of the Ramsar Convention. (Ramsar Secretariat). 
68% of Parties have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (National Reports to COP12). 
Indicators 
Number of Regional Initiatives successfully implemented. (Data source: National Reports). 
% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports).","Number of Regional Initiatives successfully implemented. (Data source: National Reports). 
% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports)."
O_G4_T16,Operational Goal,Goal 4: Enhancing Implementation,"Wetlands conservation and wise use are mainstreamed through communication, capacity development, education, participation and awareness.",T21,"The Secretariat’s CEPA 
programme will deliver high profile media and public 
awareness placements and programs to raise the 
convention’s image. 
Ramsar Handbook 6: Wetland CEPA 
[http://www.ramsar.org/sites/ default/files/documents/library /hbk4-06.pdf]",Contracting Parties with support from Secretariat and IOPs,"Baselines 
World Wetland Day 
89% of Parties have branded Word Wetlands Day activities. (National Reports to COP12). 
In 2015 884 World Wetland Day activities or events reported to the Secretariat. (Data source: Ramsar Secretariat CEPA program) 
In 2015, [379} internet references (in the press) to World Wetland Day activities. (Data source: Meltwater internet analysis). 
In 2015, [58, 566} individual visits to the World Wetlands Day website. {Data source: worldwetlandsday.org website }. 
In 2015 Social media links to World Wetland Day: 16,135,974 people reached in FaceBook . (Data source: 
https://www.facebook.com/RamsarConventionOnWetlands) . 
795 views of WWD message from Youtube channel (Data source Ramsar Youtube Channel 
https://www.youtube.com/user/RamsarConvention) 
292,100 reached in Twitter (Data source 
https://twitter.com/RamsarConv) 
CEPA programmes 
80% of Parties with a) a governmental CEPA National Focal Point and 69% of Parties with b) a non-governmental National Focal Point. (Data source: Ramsar Secretariat Data Base and National Reports to COP12). 
27% of Parties have established national action plans for wetland CEPA. (National Reports to COP12). 
Visitor centres 
By COP12, 636 centres (visitor centres, interpretation centres, education centres) have been established in Ramsar sites.
(National Reports to COP12). 
By COP12, 309 centres established at other wetlands. (National Reports to COP12). 
Indicators 
World Wetland Day 
% of Parties that have branded World Wetlands Day activities. (Data source: National Reports). 
Number of World Wetland Day activities or events reported to the Secretariat. (Data source: Ramsar CEPA program). 
Number of internet references to World Wetland Day activities. {Data source: internet analysis}. 
Number of internet references to the Ramsar Convention. {Data source: internet analysis}. 
Number of social media links to World Wetland Day. {Data source: social media analysis}. 
CEPA programmes 
% of Parties with a) a governmental CEPA National Focal Point and b) a non-governmental National Focal Point (Data source: National Reports). 
% of Parties that have established national action plans for wetland CEPA. (Data source: National Reports). 
Visitor centres 
Number of centres (visitor centres, interpretation centres, education centres) have been established in Ramsar Sites. (Data source: National Reports). 
Number of centres at other wetlands. (Data source: National Reports). 
Possible further indicators that may be developed
{Indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes}.","% of Parties that have branded World Wetlands Day activities. (Data source: National Reports). 
Number of World Wetland Day activities or events reported to the Secretariat. (Data source: Ramsar CEPA program). 
Number of internet references to World Wetland Day activities. {Data source: internet analysis}. 
Number of internet references to the Ramsar Convention. {Data source: internet analysis}. 
Number of social media links to World Wetland Day. {Data source: social media analysis}. 
% of Parties with a) a governmental CEPA National Focal Point and b) a non-governmental National Focal Point (Data source: National Reports). 
% of Parties that have established national action plans for wetland CEPA. (Data source: National Reports). 
Number of centres (visitor centres, interpretation centres, education centres) have been established in Ramsar Sites. (Data source: National Reports). 
Number of centres at other wetlands. (Data source: National Reports). 
{Indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes}."
O_G4_T17,Operational Goal,Goal 4: Enhancing Implementation,Financial and other resources for effectively implementing the fourth Ramsar Strategic Plan 2016 – 2024 from all sources are made available,T19,The Secretariat’s Partnership team will raise non-core funds to fund priority convention activities.,"Ramsar Secretariat, 
Contracting Parties, IOPs, development assistance agencies.","Baseline 
21% of Contracting Parties have provided additional financial support through voluntary contributions to non-core funded Convention activities. (National Reports to COP12). 
40% of Contracting Parties have received funding support from development assistance agencies for national wetlands conservation and management. (National Reports to COP12). 
Indicators 
% of Contracting Parties that have provided additional financial support through voluntary contributions to non-core funded Convention activities. (National Reports to COP12). 
% of Parties that have received funding support from development assistance agencies for national wetlands conservation and management. (Data source: National Reports). 
Possible further indicators that may be developed 
{Indicator(s) related to flows of financing related to different aspects of Strategic Plan implementation}.","% of Contracting Parties that have provided additional financial support through voluntary contributions to non-core funded Convention activities. (National Reports to COP12). 
% of Parties that have received funding support from development assistance agencies for national wetlands conservation and management. (Data source: National Reports). 
{Indicator(s) related to flows of financing related to different aspects of Strategic Plan implementation}."
O_G4_T18,Operational Goal,Goal 4: Enhancing Implementation,International cooperation is strengthened at all levels,,"Regional Initiatives, multilateral and bilateral agreements, 
Memorandums of 
Understanding. 
Ramsar Handbook 5: 
Partnerships 
[http://www.ramsar.org/sites/ default/files/documents/pdf/li b/hbk4-05.pdf]
Ramsar Handbook 20: 
International co-operation [http://www.ramsar.org/sites/ default/files/documents/pdf/li b/hbk4-20.pdf ]","Ramsar Secretariat, 
Contracting Parties, IOPs, Regional Centres, MEAs.","Baselines 
Regional Initiatives 
By COP12, [15] Regional Initiatives are in operation under the framework of the Ramsar Convention. (Ramsar Secretariat). 
68% of Parties have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (National Reports to COP12).
Other aspects of co-operation 
35% of Parties have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features. (National Reports to COP12). 
33% of Parties have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones). (National Reports to COP12). 
[XX]% of Parties have co-ordination mechanisms for the implementation of MEAs existing at a national level. (Data source: new question for National Reports). 
At COP12, 168 Parties have acceded to the Ramsar Convention. (Report of the Secretary General to COP12 on the implementation of the Convention, COP12Doc8). 
At COP12, [16] transboundary Ramsar Sites. (Data source: Ramsar Secretariat). 
Indicators 
Regional Initiatives 
Number of Regional Initiatives successfully implemented. (Data source: National Reports). 
% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports). 
Other aspects of co-operation 
% of Parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features. (Data source: National Reports). 
% of Parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones). (Data source: National Reports).
% of Parties where co-ordination mechanisms for the 
implementation of MEAs exist at a national level. (Data source: new question for National Reports). 
Number of Parties which have acceded to the Ramsar Convention. (Data Source: National Reports). 
Total number of transboundary Ramsar Sites. (Data source: Ramsar Sites Database).","Number of Regional Initiatives successfully implemented. (Data source: National Reports). 
% of Parties that have been involved in the development and implementation of a Regional Initiative under the framework of the Convention. (Data source: National Reports). 
% of Parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features. (Data source: National Reports). 
% of Parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones). (Data source: National Reports).
% of Parties where co-ordination mechanisms for the implementation of MEAs exist at a national level. (Data source: new question for National Reports). 
Number of Parties which have acceded to the Ramsar Convention. (Data Source: National Reports). 
Total number of transboundary Ramsar Sites. (Data source: Ramsar Sites Database)."
O_G4_T19,Operational Goal,Goal 4: Enhancing Implementation,Capacity building for implementation of the Convention and the 4th Ramsar Strategic Plan 2016 – 2024 is enhanced.,T20,"Projects, programmes and events that promote wise use of wetlands with the active involvement of wetland 
managers and users. 
CEPA plans, World Wetlands Day, training courses. 
Ramsar Handbook 7: 
Participatory skills 
[http://www.ramsar.org/sites/ default/files/documents/pdf/li b/hbk4-07.pdf]","Ramsar Secretariat, 
Contracting Parties, IOPs, Regional Initiatives, 
Regional Centres, wetland managers and users, MEAs.","Baseline 
20% of Parties have made and assessment of national and local training needs for the implementation of the Convention. (National Reports to COP12). 
Indicator 
% of Parties that have made an assessment of national and local training needs for the implementation of the Convention. (National Reports to COP12).",% of Parties that have made an assessment of national and local training needs for the implementation of the Convention. (National Reports to COP12).
17 Information based on 131 National Reports received to COP 12.,,,,,,,,
18 Actions for appropriate wetland management that are not necessarily in the context of a formal management plan – Resolution VIII.14,,,,,,,,
19 Totals relate to number of sites containing the relevant habitat site: some sites may contain more than one habitat type and so be counted under each habitat,,,,,,,,
"The 4th Strategic Plan 2016 – 2024 2022 update. Accessed via https://www.ramsar.org/about/convention-wetlands-and-its-mission/strategic-plan/fourth-strategic-plan in January 2025
",,,,,,,,